id,name1,name2,name3,name4,name5,more_names_1,name6,name7,name8,name9,name10,more_names_2,name11,name12,name13,name14,name15,more_names_3,name_1,name_2,name_3,name_4,name_5,name_6,name_7,name_8,name_9,name_10,name_11,name_12,name_13,name_14,name_15,tie1,tie2,tie3,tie4,tie5,tie6,tie7,tie8,tie9,tie10,tie11,tie12,tie13,tie14,tie15,a_tie1,a_tie2,a_tie3,a_tie4,a_tie5,a_tie6,a_tie7,a_tie8,a_tie9,a_tie10,a_tie11,a_tie12,a_tie13,a_tie14,a_tie15,a_tie16,a_tie17,a_tie18,a_tie19,a_tie20,a_tie21,a_tie22,a_tie23,a_tie24,a_tie25,a_tie26,a_tie27,a_tie28,a_tie29,a_tie30,a_tie31,a_tie32,a_tie33,a_tie34,a_tie35,a_tie36,a_tie37,a_tie38,a_tie39,a_tie40,a_tie41,a_tie42,a_tie43,a_tie44,a_tie45,a_tie46,a_tie47,a_tie48,a_tie49,a_tie50,a_tie51,a_tie52,a_tie53,a_tie54,a_tie55,a_tie56,a_tie57,a_tie58,a_tie59,a_tie60,a_tie61,a_tie62,a_tie63,a_tie64,a_tie65,a_tie66,a_tie67,a_tie68,a_tie69,a_tie70,a_tie71,a_tie72,a_tie73,a_tie74,a_tie75,a_tie76,a_tie77,a_tie78,a_tie79,a_tie80,a_tie81,a_tie82,a_tie83,a_tie84,a_tie85,a_tie86,a_tie87,a_tie88,a_tie89,a_tie90,a_tie91,a_tie92,a_tie93,a_tie94,a_tie95,a_tie96,a_tie97,a_tie98,a_tie99,a_tie100,a_tie101,a_tie102,a_tie103,a_tie104,a_tie105,name1speak,name2speak,name3speak,name4speak,name5speak,name6speak,name7speak,name8speak,name9speak,name10speak,name11speak,name12speak,name13speak,name14speak,name15speak,name1length,name2length,name3length,name4length,name5length,name6length,name7length,name8length,name9length,name10length,name11length,name12length,name13length,name14length,name15length,sn_relate_1,sn_relate_2,sn_relate_3,sn_relate_4,sn_relate_5,sn_relate_6,sn_relate_7,sn_relate_8,sn_relate_9,sn_relate_10,sn_relate_11,sn_relate_12,sn_relate_13,sn_relate_14,sn_relate_15,name1dist,name2dist,name3dist,name4dist,name5dist,name6dist,name7dist,name8dist,name9dist,name10dist,name11dist,name12dist,name13dist,name14dist,name15dist,record_id,name1relat__1,name1relat__2,name1relat__3,name1relat__4,name1relat__5,name1relat__77,name2relat__1,name2relat__2,name2relat__3,name2relat__4,name2relat__5,name2relat__77,name3relat__1,name3relat__2,name3relat__3,name3relat__4,name3relat__5,name3relat__77,name4relat__1,name4relat__2,name4relat__3,name4relat__4,name4relat__5,name4relat__77,name5relat__1,name5relat__2,name5relat__3,name5relat__4,name5relat__5,name5relat__77,name6relat__1,name6relat__2,name6relat__3,name6relat__4,name6relat__5,name6relat__77,name7relat__1,name7relat__2,name7relat__3,name7relat__4,name7relat__5,name7relat__77,name8relat__1,name8relat__2,name8relat__3,name8relat__4,name8relat__5,name8relat__77,name9relat__1,name9relat__2,name9relat__3,name9relat__4,name9relat__5,name9relat__77,name10relat__1,name10relat__2,name10relat__3,name10relat__4,name10relat__5,name10relat__77,name11relat__1,name11relat__2,name11relat__3,name11relat__4,name11relat__5,name11relat__77,name12relat__1,name12relat__2,name12relat__3,name12relat__4,name12relat__5,name12relat__77,name13relat__1,name13relat__2,name13relat__3,name13relat__4,name13relat__5,name13relat__77,name14relat__1,name14relat__2,name14relat__3,name14relat__4,name14relat__5,name14relat__77,name15relat__1,name15relat__2,name15relat__3,name15relat__4,name15relat__5,name15relat__77,network_size,total.edges,total.weakTies,total.strongTies,max_degree,mean_degree,density_val,degree_centrality_score,constraint,effsize,kinship
A3VTOW7WLPTBRR,Jd,gayle,kelly,,,,JD,gayle,,,,,Jd,gayle,kelly,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spouse,Family,Family,,,,,,,,,,,,,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,2,3,3,1,0,0.802222222,1.6,3
A2Q3FS9G8ITCN7,Scott,Ashley,Darrell,,,,Scott,,,,,,Scott,Ashley,Darrell,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spouse,Family,Friend,Advisor","Friend,Advisor","Family,Friend,Advisor",,,,,,,,,,,,,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,4,3,3,1,0,0.822777778,1.666666667,2
AJAKX491SGILM,fa,ry,ge,ma,to,,fa,ge,,,,,fa,ry,ma,to,ge,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spouse,Family,Family,Family,Family,,,,,,,,,,,1,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,4,11,5,5,1,0,0.621629189,1.8,5
A21Q7FCKM86VL8,db,bp,sg,lw,ml,,lw,db,sg,,,,lw,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Friend,Friend,Friend,Spouse,Family,,,,,,,,,,,2,3,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,4,5,2.666666667,0.533333333,0.466666667,0.435555556,3.875,2
A2JP9IKRHNLRPI,AA,BB,,,,,AA,BB,,,,,AA,BB,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Family,Family,,,,,,,,,,,,,,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,2,2,1,0,1.125,1,2
A2OG8XRYJ56HS7,Connie,Ann,,,,,Connie,,,,,,Jill,Ann,Jason,,,,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,Friend,Friend,,,,,,,,,"Advisor,Other",,"Advisor,Other",,,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,203,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,2,4,2,0.5,0.5,0.347222222,3.666666667,0
A5TMU62U5FE5K,Lari Ann ,Kevin,,,,,Lari-Ann,,,,,,Lari-Ann,Barbara,,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,Spouse,Friend,,,,,,,,,,Advisor,,,,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,204,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,2,3,2.5,0.833333333,0.166666667,0.741111111,2.1,1
A11S8IAAVDXCUS,Pat,Lori,Theresa,Amber,Hannah,Elizabeth,Pat,Theresa,Amber,Hannah,Emily,Elizabeth,Pat,Lori,,,,,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,2,2,1,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,3,2,3,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Family,Family,Friend,"Family,Friend","Family,Friend",,,,,Friend,,,,,,1,5,2,4,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,205,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,5,12,6,4.857142857,0.80952381,0.19047619,0.581290123,2.35,4
A2HHKBW8HQWI66,YV,MJ,PV,,,,YV,,,,,,YV,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spouse,Family,Family,,,,,,,,,,,,,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,6,3,3,1,0,0.925925926,1,3
A1VMPZVVVZUCS4,JT,SC,,,,,JT,NT,,,,,SC,RN,,,,,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,3,2,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,Family,Friend,,,,,Family,,,,,Friend,,,,4,6,NA,NA,NA,NA,4,NA,NA,NA,NA,6,NA,NA,NA,207,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,4,4,2.4,0.6,0.4,0.654320988,3,2
A3908297ZI3LES,Jeff,Robin,,,,,Jeff,Robin,,,,,Jeff,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Friend,Friend,,,,,,,,,,,,,,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,2,2,1,0,1.00308642,1.166666667,0
A2SD7GN80U31GW,M,R,,,,,M,R,,,,,M,R,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Family,Family,,,,,,,,,,,,,,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,2,2,1,0,1.125,1,2
A1TGV7LT6LTIQU,JC,KJ,GT,,,,JC,KJ,GT,JV,,,JC,,,,,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,Other,Friend,Friend,,,,,,Friend,,,,,,,1,5,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,210,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,3,4,2.8,0.7,0.3,0.619791667,2.916666667,0
A27W025UEXS1G0,JD,CJ,,,,,Mike,Keith,,,,,JD,,,,,,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,Family,Family,,,,Friend,"Friend,Co-worker",,,,,,,,,1,4,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,211,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,3,4,2.4,0.6,0.4,0.55941358,3.083333333,2
AXAO7UJYYEFCO,cl,dl,ct,dll,kl,,dll,cl,ct,dl,gb,,cl,dll,dl,,,,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,2,2,2,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,0,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,0,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,3,3,1,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,Family,Family,Friend,Friend,Family,,,,,Friend,,,,,,5,5,3,5,5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,212,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,6,7,6,3.714285714,0.619047619,0.380952381,0.433650794,4.2,3
